timestamp value1 value2 value3 value4
42.80000000000007 0.0 4.961983829410711 5.125400777771261 0.0
43.00000000000007 0.0 4.945915735324859 5.109072111542527 0.0
43.200000000000074 0.0 4.929873698473334 5.092769502528331 0.0
43.40000000000008 0.0 4.913857718858001 5.076492950731708 0.0
43.60000000000008 0.0 4.897867796480735 5.060242456154524 0.0
43.80000000000008 0.0 4.881903931343413 5.044018018798107 0.0
44.000000000000085 0.0 4.865966123447941 5.027819638664379 0.0
44.20000000000009 0.0 4.850054372796189 5.011647315755251 0.0
44.40000000000009 -8.153091422931575e-5 4.834161464694012 4.995500722029684 0.021764772014574323
44.600000000000094 0.010856414124358052 4.8184650807300216 4.979384198140215 0.19908854453888472
44.8000000000001 0.036022201449983485 4.803550580659198 4.963340810951307 0.34426900489991463
45.0000000000001 0.07129412558628646 4.78992718644673 4.947463851840704 0.4631327408254007
45.2000000000001 0.11344442010574206 4.777969733371149 4.93187941446657 0.5604501600085965
45.400000000000105 0.159963244145961 4.7679481483139625 4.91673199324571 0.640126942861988
45.60000000000011 0.20891590414448538 4.760048658040112 4.90217382571655 0.7053607908118185
45.80000000000011 0.25882715976438614 4.754389846878446 4.888356999569165 0.758769760977843
46.000000000000114 0.30858759001305497 4.751035381922183 4.875427666892186 0.8024973377473306
46.20000000000012 0.3573779171453178 4.75000445629529 4.863521903359701 0.8382984581244428
46.40000000000012 0.40460793943856865 4.751280557689549 4.852762870648997 0.8676099433460718
46.60000000000012 0.44986733990058436 4.754818919629528 4.8432590174311505 0.8916081634254365
46.800000000000125 0.49288614143807186 4.7605528764093545 4.835103106206903 0.9112562488985212
47.00000000000013 0.533502990450367 4.768399270515782 4.82837189067072 0.9273427445419873
47.20000000000013 0.5716397869735009 4.778263024568965 4.823126297148931 0.9405132563682791
47.400000000000134 0.6072814540963424 4.7900409713764756 4.819411987263264 0.9512963619999241
47.600000000000136 0.6404598636222446 4.803625026130161 4.817260199065855 0.960124824294844
47.80000000000014 0.6712411180366602 4.818904778865225 4.816688781358582 0.9673529595979137
48.00000000000014 0.699715538274423 4.835769580551614 4.817703351229766 0.9732708576660232
48.200000000000145 0.7259898287045256 4.854110191354792 4.82029851825434 0.9781160239608018
48.40000000000015 0.7501809901919326 4.873820054394522 4.824459130447083 0.982082911553977
48.60000000000015 0.7724116331668945 4.894796252730551 4.830161507108681 0.985330725193283
48.80000000000015 0.7928064086952771 4.916940201419977 4.837374632212349 0.9879898107327394
49.000000000000156 0.8114893293487577 4.940158120632628 4.8460612891534005 0.9901668863569607
49.20000000000016 0.8285817954702102 4.964361330051068 4.856179123591041 0.9919493255463925
49.40000000000016 0.8442011780558033 4.989466399352733 4.86768162594777 0.9934086636734999
49.600000000000165 0.8584598384343335 5.01539518452942 4.880519028992894 0.9946034689615885
49.80000000000017 0.8714644884445444 5.042074775231828 4.894639118974219 0.9955816930276409
50.00000000000017 0.8833158138965839 5.069437374224651 4.909987961121859 0.996382595344482
50.20000000000017 0.8941082995744947 5.09742012644808 4.926510542066425 0.9970383188575113
50.400000000000176 0.9039302065627247 5.125964912045506 4.944151333019486 0.9975751799908827
50.60000000000018 0.9128636628081916 5.155018115020556 4.962854778394142 0.9980147248154896
50.80000000000018 0.920984836007133 5.184530376893001 4.982565715127282 0.998374593766377
51.000000000000185 0.92836407862749 5.214456353276073 5.003229728773335 0.9986338974524411
51.20000000000019 0.9350511355536907 5.2447540633776 5.024793439991243 0.9986338974524411
51.40000000000019 0.9411018349215258 5.2753842279979475 5.0472046814280285 0.9986338974524411
51.60000000000019 0.9465767341550695 5.306310997644911 5.070412675534518 0.9986338974524411
51.800000000000196 0.9515306278779667 5.33750182821901 5.0943682276556075 0.9986338974524411
